//ID#Nome_do_Sprite#							Nome da Ilustracao (kRO)		Nome da Carta (bRO)
4001#Poring_Card#						//		Æ÷¸µÄ«µå					|		Carta Poring
4286#Karakasa_Card#						//		Ä«¶óÄ«»çÄ«µå					|		Carta Karakasa
4287#Kapha_Card#						//		Ä±ÆÄÄ«µå					|		Carta Kapha
4288#Carat_Card#						//		Ä³·µÄ«µå					|		Carta Carat
4289#Caterpillar_Card#					//		Ä³ÅÍÇÊ·¯Ä«µå					|		Carta Lagarta
4290#Cat_O_Nine_Tail_Card#				//		Ä¹¿À³ªÀÎÅ×ÀÏÄ«µå				|		Carta Gato de Nove Caudas
4291#Kobold_Leader_Card#				//		ÄÚº¼Æ®¸®´õÄ«µå				|		Carta Lider Cobold
4292#Kobold_Archer_Card#				//		ÄÚº¼Æ®¾ÆÃÄÄ«µå				|		Carta Cobold Arqueiro
4293#Cookie_Card#						//		ÄíÅ°Ä«µå					|		Carta Cookie
4294#Quve_Card#							//		Å¥ºêÄ«µå					|		Carta Quve
4295#Kraben_Card#						//		Å©¶óº¥Ä«µå					|		Carta Kraben
4296#Cramp_Card#						//		Å©·¥ÇÁÄ«µå					|		Carta Caibra
4297#Cruiser_Card#						//		Å©·çÀÌÁ®Ä«µå					|		Carta Soldadinho de Chumbo
4298#Cremy_Fear_Card#					//		Å©¸®¹ÌÇÇ¾îÄ«µå				|		Carta Creamy Ameacador
4299#Clock_Card#						//		Å¬¶ôÄ«µå					|		Carta Relogio
4300#Chimera_Card#						//		Å°¸Þ¶óÄ«µå					|		Carta Quimera
4301#Killer_Mantis_Card#				//		Å³·¯¸ÇÆ¼½ºÄ«µå				|		Carta Mantis Assassino
4302#Tao_Gunka_Card#					//		Å¸¿À±ºÄ«Ä«µå					|		Carta Tao Gunka
4303#Whisper_Boss_Card#					//		°Å´ëÀ§½ºÆÛÄ«µå				|		Carta Cochicho
4304#Tamruan_Card#						//		Å½·ç¾ÈÄ«µå					|		Carta Tamruan
4305#Turtle_General_Card#				//		ÅÍÆ²Á¦³×·²Ä«µå				|		Carta General Tartaruga
4306#Toad_Card#							//		ÅäµåÄ«µå					|		Carta Sapo-Cururu
4307#Kind_Of_Beetle_Card#				//		Åõ±¸¹ú·¹Ä«µå					|		Carta Besouro-Rei
4308#Tri_Joint_Card#					//		Æ®¶óÀÌÁ¶ÀÎÆ®Ä«µå				|		Carta Trilobita
4309#Parasite_Card#						//		ÆÐ·¯»çÀÌÆ®Ä«µå				|		Carta Parasita
4310#Panzer_Goblin_Card#				//		ÆÒÀú°íºí¸°Ä«µå				|		Carta Panzer Goblin
4311#Permeter_Card#						//		ÆÛ¸ÓÅÍÄ«µå					|		Carta Batedor
4312#Fur_Seal_Card#						//		ÆÛ¾ÁÄ«µå					|		Carta Foca
4313#Punk_Card#							//		ÆãÅ©Ä«µå					|		Carta Punk
4314#Penomena_Card#						//		Æä³ë¸Þ³ªÄ«µå					|		Carta Penomena
4315#Pest_Card#							//		Æä½ºÆ®Ä«µå					|		Carta Peste
4316#Fake_Angel_Card#					//		ÆäÀÌÅ©¿£Á©Ä«µå				|		Carta Anjo Fajuto
4317#Mobster_Card#						//		Æø·Â¹èÄ«µå					|		Carta Yakuza
4318#Knight_Windstorm_Card#				//		ÆøÇ³ÀÇ±â»çÄ«µå				|		Carta Cavaleiro da Tempestade
4319#Freezer_Card#						//		ÇÁ¸®ÀúÄ«µå					|		Carta Congelador
4320#Bloody_Knight_Card#				//		ÇÇºûÀÇ±â»çÄ«µå				|		Carta Cavaleiro Sanguinario
4321#Hylozoist_Card#					//		ÇÏÀÌ·ÎÁ¶ÀÌ½ºÆ®Ä«µå				|		Carta Poltergeist
4322#High_Orc_Card#						//		ÇÏÀÌ¿ÀÅ©Ä«µå					|		Carta Grand Orc
4323#Garm_Baby_Card#					//		ÇÏÆ¼º£º£Ä«µå					|		Carta Filhote de Hatii
4324#Garm_Card#							//		ÇÏÆ¼Ä«µå					|		Carta Hatii
4325#Harpy_Card#						//		ÇÏÇÇÄ«µå					|		Carta Harpia
4326#See_Otter_Card#					//		ÇØ´ÞÄ«µå					|		Carta Lontra
4327#Blood_Butterfly_Card#				//		Ç÷È£Á¢Ä«µå					|		Carta Borboleta Sanguinaria
4328#Hyegun_Card#						//		Çý±ºÄ«µå					|		Carta Yao Jun
4329#Phendark_Card#						//		ÈÓ´Ù¸£Å©Ä«µå					|		Carta Fendark
4330#Dark_Snake_Lord_Card#				//		Èæ»ç¿ÕÄ«µå					|		Carta Serpente Suprema
4331#Heater_Card#						//		È÷ÅÍÄ«µå					|		Carta Aquecedor
4332#Waste_Stove_Card#					//		°íÃ¶³­·Î					|		Carta Fornalha Velha
4333#Venomous_Card#						//		º£³ë¸Ó½º					|		Carta Nuvem Venenosa
4334#Noxious_Card#						//		³ì½Ã¾î½º					|		Carta Nuvem Toxica
4335#Pitman_Card#						//		ÇÍ¸Ç						|		Carta Mineiros
4336#Ungoliant_Card#					//		¿î°ñ¸®¾ÈÆ®					|		Carta Ungoliant
4337#Porcellio_Card#					//		Æú¼¿¸®¿À					|		Carta Porcellio
4338#Obsidian_Card#						//		¿É½Ãµð¾ð					|		Carta Obsidiana
4339#Mineral_Card#						//		¹Ì³×¶ö						|		Carta Mineral
4340#Teddy_Bear_Card#					//		°õÀÎÇü						|		Carta Ursinho
4341#Metaling_Card#						//		¸ÞÅ»¸µ						|		Carta Metaling
4342#Rsx_0806_Card#						//		RSX0806Ä«µå				|		Carta RSX-0806
4343#Mole_Card#							//		È¦µ§						|		Carta Holden
4344#Anopheles_Card#					//		À§·¹½ºÄ«µå					|		Carta Anopheles
4345#Hill_Wind_Card#					//		ÈúÀ©µåÄ«µå					|		Carta Vento da Colina
4346#Ygnizem_Card#						//		ÀÌ±×´ÏÁª¼¼´Ï¾ÆÄ«µå				|		Carta Egnigem Cenia
4347#Armaia_Card#						//		¾Æ¸£¸¶ÀÌ¾îµòÁ¦Ä«µå				|		Carta Armeyer Dinze
4348#Whikebain_Card#					//		ÈÖÄÉ¹ÙÀÎÆ®¸®½ºÄ«µå				|		Carta Wickebine Tres
4349#Erend_Card#						//		ÀÌ·»µå¿¡º£½ÃÄ«µå				|		Carta Errende Ebecee
4350#Rawrel_Card#						//		¶ó¿ì·¼ºá´õÄ«µå				|		Carta Laurell Weinder
4351#Kavac_Card#						//		Ä«¹ÙÅ©ÀÌÄ«·ç½ºÄ«µå				|		Carta Kavach Icarus
4352#B_Ygnizem_Card#					//		º¸½ºÀÌ±×´ÏÁªÄ«µå				|		Carta Egnigem Cenia [Chefe]
4353#Removal_Card#						//		¸®¹«¹öÄ«µå					|		Carta Remover
4354#Gemini_Card#						//		Á¦¹Ì´Ï						|		Carta Gemini-S58
4355#Gremlin_Card#						//		±×·½¸°Ä«µå					|		Carta Gremlin
4356#Beholder_Card#						//		ºñÈ¦´õ						|		Carta Beholder
4357#B_Seyren_Card#						//		·Îµå³ªÀÌÆ®Ä«µå				|		Carta Lorde Seyren
4358#Seyren_Card#						//		¼¼ÀÌ·»À©ÀúÄ«µå				|		Carta Seyren Windsor
4359#B_Eremes_Card#						//		¾î½Ø½ÅÅ©·Î½ºÄ«µå				|		Carta Algoz Eremes
4360#Eremes_Card#						//		¿¡·¹¸Þ½º°¡ÀÏÄ«µå				|		Carta Eremes Guile
4361#B_Harword_Card#					//		È­ÀÌÆ®½º¹Ì½ºÄ«µå				|		Carta Mestre-ferreiro Howard
4362#Harword_Card#						//		ÇÏ¿öµå¾ËÆ®¾ÆÀÌÁ¨Ä«µå				|		Carta Howard Alt-Eisen
4363#B_Magaleta_Card#					//		ÇÏÀÌÇÁ¸®½ºÆ®					|		Carta Sumo Sacerdotisa Margaretha
4364#Magaleta_Card#						//		¸¶°¡·¹Å¸¼Ò¸°Ä«µå				|		Carta Margaretha Sorin
4365#B_Katrinn_Card#					//		ÇÏÀÌÀ§ÀÚµåÄ«µå				|		Carta Arquimaga Kathryne
4366#Katrinn_Card#						//		Ä«Æ®¸°´ÀÄÉÀÌ·ÐÄ«µå				|		Carta Kathryne Keyron
4367#B_Shecil_Card#						//		½º³ªÀÌÆÛÄ«µå					|		Carta Atirador de Elite Cecil
4368#Shecil_Card#						//		¼Î½Çµð¸ÕÄ«µå					|		Carta Cecil Damon
4369#Venatu_Card#						//		º£³ªÅõ						|		Carta Venatu
4370#Dimik_Card#						//		µð¹ÌÅ©Ä«µå					|		Carta Dimik
4371#Archdam_Card#						//		¾ÆÅ©´ã						|		Carta Archdam
4372#Bacsojin_Card#						//		¹é¼ÒÁø						|		Carta Dama de Branco
4373#Chung_E_Card#						//		Ã»ÀÌ						|		Carta Donzela Verde
4374#Apocalips_H_Card#					//		º£½ºÆÛÄ«µå					|		Carta Vesper
4375#Orc_Baby_Card#						//		¿ÀÅ©º£ÀÌºñ					|		Carta Filhote de Orc
4376#Lady_Tanee_Card#					//		Å¸´Ï¾Æ°¡¾¾					|		Carta Lady Tanee
4377#Green_Iguana_Card#					//		±×·Îºê						|		Carta Grove
4378#Acidus_Card#						//		°ñµå¾î½Ã´õ½º					|		Carta Acidus Dourado
4379#Acidus__Card#						//		ºí·ç¾î½Ã´õ½ºÄ«µå				|		Carta Acidus Azul
4380#Ferus_Card#						//		·¹µåÆä·¯½ºÄ«µå				|		Carta Ferus Escarlate
4381#Ferus__Card#						//		±×¸°Æä·¯½ºÄ«µå				|		Carta Ferus Verde
4382#Novus__Card#						//		¿»·Î¿ì³ë¹ö½º					|		Carta Novus Dourado
4383#Novus_Card#						//		·¹µå³ë¹ö½º					|		Carta Novus Escarlate
4384#Hydro_Card#						//		ÇÏÀÌµå·Î·£¼­					|		Carta Hydrolancer
4385#Dragon_Egg_Card#					//		µå·¡°ïÀÇ¾Ë					|		Carta Ovo de Dragao
4386#Detale_Card#						//		µðÅ¸¸£µ¥¿ì¸£½ºÄ«µå				|		Carta Detardeurus
4387#Ancient_Mimic_Card#				//		¿¡ÀÎ¼ÇÆ®¹Ì¹Í					|		Carta Mimico Antigo
4388#Deathword_Card#					//		µ¥½º¿öµå					|		Carta Palavra Morta
4389#Plasma_Card#						//		ÇÃ¶óÁî¸¶					|		Carta Plasma
4390#Breeze_Card#						//		»êµé¹Ù¶÷					|		Carta Breeze
4391#Retribution_Card#					//		½Å¹úÀÇ´ëÇàÀÚÄ«µå				|		Carta Baronesa da Retribuicao
4392#Observation_Card#					//		°¨½ÃÇÏ´ÂÀÚÄ«µå				|		Carta Dama da Guarda
4393#Shelter_Card#						//		¾È½ÄÀ»ÁÖ´ÂÀÚÄ«µå				|		Carta Senhora do Abrigo
4394#Solace_Card#						//		À§·ÎÇÏ´ÂÀÚ					|		Carta Senhora do Conforto
4395#Tha_Maero_Card#					//		Å¸³ªÅä½ºÀÇ½½ÇÄ				|		Carta Maero de Thanatos
4396#Tha_Odium_Card#					//		Å¸³ª³ë½ºÀÇÁõ¿À				|		Carta Odium de Thanatos
4397#Tha_Despero_Card#					//		Å¸³ªÅä½ºÀÇÀý¸Á				|		Carta Despero de Thanatos
4398#Tha_Dolor_Card#					//		Å¸³ªÅä½ºÀÇ°í³ú				|		Carta Pesar de Thanatos
4399#Thanatos_Card#						//		Å¸³ªÅä½ºÀÇ±â¾ïÄ«µå				|		Carta Memoria de Thanatos
4400#Aliza_Card#						//		¿¤¸®ÀÚ						|		Carta Aliza
4401#Alicel_Card#						//		¿¤¸®¼¿						|		Carta Alicel
4402#Aliot_Card#						//		¿¤¸®¾ù						|		Carta Aliot
4403#Kiel_Card#							//		Å°¿¤Ä«µå					|		Carta Kiel-D-01
4404#Skogul_Card#						//		½ºÄÚ±Û						|		Carta Skogul
4405#Frus_Card#							//		ÇÁ·ç½º						|		Carta Frus
4406#Skeggiold_Card#					//		½ºÄÉ°ñÆ®					|		Carta Skeggiold
4407#Randgris_Card#						//		¶õµå±×¸®½º					|		Carta Valquiria Randgris
4408#Gloom_Under_Night_Card#			//		±Û·ë¾ð´õ³ªÀÌÆ®Ä«µå				|		Carta Pesar Noturno
4409#Agav_Card#							//		¾Æ°¡ºêÄ«µå					|		Carta Agav
4410#Echio_Card#						//		¿¡Å°¿ÀÄ«µå					|		Carta Echio
4411#Vanberk_Card#						//		ÆÇº£¸£Å©Ä«µå					|		Carta Vanberk
4412#Isilla_Card#						//		ÀÌ½Ç¶óÄ«µå					|		Carta Isilla
4413#Hodremlin_Card#					//		È£µå·½¸°Ä«µå					|		Carta Hodremlin
4414#Seeker_Card#						//		½ÃÄ¿Ä«µå					|		Carta Rastreador
4415#Snowier_Card#						//		½º³ëÀÌ¾îÄ«µå					|		Carta Yeti
4416#Siroma_Card#						//		½Ã·Î¸¶Ä«µå					|		Carta Siroma
4417#Ice_Titan_Card#					//		¾ÆÀÌ½ºÆ¼ÅºÄ«µå				|		Carta Tita de Gelo
4418#Gazeti_Card#						//		°¡¿¡ÁîÆ¼Ä«µå					|		Carta Gazeti
4419#Ktullanux_Card#					//		Å©Åø¶ó³«½ºÄ«µå				|		Carta Ktullanux
4420#Muscipular_Card#					//		¸Ó½ºÅ°Ç½¶óÄ«µå				|		Carta Muscipular
4421#Drosera_Card#						//		µå·Î¼¼¶óÄ«µå					|		Carta Drosera
4422#Roween_Card#						//		·Î¿ìÀ©Ä«µå					|		Carta Roween
4423#Galion_Card#						//		°¥¸®¿ÂÄ«µå					|		Carta Galion
4424#Stapo_Card#						//		½ºÅÂÆ÷Ä«µå					|		Carta Stapo
4425#Atroce_Card#						//		¾ÆÆ®·Î½ºÄ«µå					|		Carta Atroce
4426#Byorgue_Card#						//		ºÌ¸£±×Ä«µå					|		Carta Byorgue
4427#Sword_Guardian_Card#				//		¼Òµå°¡µð¾ðÄ«µå				|		Carta Espadachim Guardiao
4428#Bow_Guardian_Card#					//		º¸¿ì°¡µð¾ðÄ«µå				|		Carta Arqueiro Guardiao
4429#Salamander_Card#					//		»ø·¯¸Ç´õÄ«µå					|		Carta Salamandra
4430#Ifrit_Card#						//		ÀÌÇÁ¸®Æ®Ä«µå					|		Carta Ifrit
4431#Kasa_Card#							//		Ä«»çÄ«µå					|		Carta Kasa
4432#Magmaring_Card#					//		¸¶±×¸¶¸µÄ«µå					|		Carta Magmaring
4433#Imp_Card#							//		ÀÓÇÁÄ«µå					|		Carta Imp
4434#Knocker_Card#						//		³ìÄ¿Ä«µå					|		Carta Golpeador
4435#Zombie_Slaughter_Card#				//		Á»ºñ½½·¯ÅÍÄ«µå				|		Carta Massacre
4436#Ragged_Zombie_Card#				//		´©´õ±âÁ»ºñÄ«µå				|		Carta Zumbi Dilacerado
4437#Hell_Poodle_Card#					//		ÇïÇªµéÄ«µå					|		Carta Cao Infernal
4438#Banshee_Card#						//		¹ê½ÃÄ«µå					|		Carta Banshee
4439#Flame_Skull_Card#					//		ÇÃ·¹ÀÓ½ºÄÃÄ«µå				|		Carta Cranio Flamejante
4440#Necromancer_Card#					//		³×Å©·Î¸Ç¼­Ä«µå				|		Carta Necromante
4441#Fallen_Bishop_Card#				//		Å¸¶ôÇÑ´ë½Å°üÄ«µå				|		Carta Bispo Decadente
4442#Tatacho_Card#						//		µûµûÃÊÄ«µå					|		Carta Tatacho
4443#Aqua_Elemental_Card#				//		¾ÆÄí¾Æ¿¤·¹¸àÅ»Ä«µå				|		Carta Elemental da Agua
4444#Draco_Card#						//		µå¶óÄÚÄ«µå					|		Carta Draco
4445#Luciola_Vespa_Card#				//		·ç½Ã¿Ã¶óº£½ºÆÄÄ«µå				|		Carta Vespa Vagalume
4446#Enhanced_Skeleton_Card#			//		°­È­½ºÄÌ·¹ÅæÄ«µå				|		Enhanced Skeleton Card
4447#Centipede_Card#					//		¼¾Æ¼Æäµ¥Ä«µå					|		Carta Centopeia
4448#Cornus_Card#						//		ÄÚ¸£´©½ºÄ«µå					|		Carta Cornus
4449#Dark_Shadow_Card#					//		´ÙÅ©½¦µµ¿ìÄ«µå				|		Carta Sombra Obscura
4450#Banshee_Master_Card#				//		¹ê½Ã¸¶½ºÅÍÄ«µå				|		Carta Banshee Master
4451#Entweihen_Card#					//		¿£Æ®¹ÙÀÌ¿£Ä«µå				|		Carta Ant Buyanne
4452#Centipede_Larva_Card#				//		¼¾Æ¼Æäµ¥À¯ÃæÄ«µå				|		Carta Larva de Centopeia
4453#Hilsrion_Card#						//		Èú½º¸®¿ÂÄ«µå					|		Carta Leao da Montanha
4454#Light_Up_Card1#					//		¹àÈ÷¸®Ä«µå1					|		Carta da Falquiria
4455#Light_Up_Card2#					//		¹àÈ÷¸®Ä«µå2					|		Carta da Falquiria
4456#Nidhogg_Shadow_Card#				//		´ÏµåÈ£±×ÀÇ±×¸²ÀÚÄ«µå				|		Carta Sombra de Nidhogg
4457#Nahtzigger_Card#					//		³ªÈåÆ®Áö°ÅÄ«µå				|		Carta Naght Sieger
4458#Duneirre_Card#						//		µÎ³×ÀÌ¸£Ä«µå					|		Carta Duneyrr
4459#Lata_Card#							//		¶óÅ¸Ä«µå					|		Rata Card
4460#Ringco_Card#						//		¸µÄÚÄ«µå					|		Carta Rhyncho
4461#Pillar_Card#						//		ÇÊ¶óÄ«µå					|		Phylla Card
4462#Hardrock_Mammos_Card#				//		ÇÏµå¶ô¸¾¸ð½ºÄ«µå				|		Carta Mamute Rochoso
4463#Tendrilrion_Card#					//		ÅÙµå¸±¸®¿ÂÄ«µå				|		Carta Leao de Vinhas
4464#Aunoe_Card#						//		¾Æ¿ì³ë¿¡Ä«µå					|		Carta Aunoe
4465#Panat_Card#						//		ÆÄ³ªÆ®Ä«µå					|		Carta Fanat
4466#Beholder_Master_Card#				//		ºñÈ¦´õ¸¶½ºÅÍÄ«µå				|		Carta Mestre Beholder
4467#Heavy_Metaling_Card#				//		Çìºñ¸ÞÅ»¸µÄ«µå				|		Carta Heavy Metaling
4468#Pinguicula_Dark_Card#				//		ÇÉ±ÍÅ§¶ó´ÙÅ©Ä«µå				|		Carta Pinguicula Sombria
4469#Naga_Card#							//		³ª°¡Ä«µå					|		Carta Naga
4470#Nepenthes_Card#					//		³×Ææµ¥½ºÄ«µå					|		Carta Nepenthes
4471#Egg_Of_Draco_Card#					//		µå¶óÄÚÀÇ¾ËÄ«µå				|		Carta Ovo de Draco
4472#Bradium_Goram_Card#				//		ºê¶óµð¿ò°í·½Ä«µå ~ ºê¶óµð¿ò°ñ·½Ä«µå	|		Carta Golem de Bradium
4473#Ancient_Tree_Card#					//		¿¡ÀÎ¼ÇÆ®Æ®¸®Ä«µå				|		Carta Arvore Ancia
4474#Jakudam_Card#						//		ÀÚÄí´ãÄ«µå					|		Carta Zakudam
4475#Cobalt_Mineral_Card#				//		ÄÚ¹ßÆ®¹Ì³×¶öÄ«µå				|		Carta Cobalto
4476#Pinguicula_Card#					//		ÇÉ±ÍÅ§¶óÄ«µå					|		Carta Pinguicula
4477#Hell_Apocalips_Card#				//		Çï¾ÆÆ÷Ä®¸³½ºÄ«µå				|		Carta Apocalipse Infernal
4478#Light_Up_Card3#					//		¹àÈ÷¸®Ä«µå3					|		Carta Falquiria
4479#Light_Up_Card4#					//		¹àÈ÷¸®Ä«µå4					|		Carta Falquiria
4480#Sealed_Kiel_Card#					//		ºÀÀÎµÈÅ°¿¤_D01Ä«µå			|		Carta Selada Kiel
4481#Sealed_Ktullanux_Card#				//		ºÀÀÎµÈÅ©Åø¶ó³«½ºÄ«µå				|		Carta Selada Ktullanux
4482#Sealed_B_Ygnizem_Card#				//		ºÀÀÎµÈº¸½ºÀÌ±×´ÏÁªÄ«µå			|		Carta Egnigem Cenia Selada
4483#Sealed_Dracula_Card#				//		ºÀÀÎµÈµå¶óÅ¥¶óÄ«µå				|		Carta Selada Dracula
4484#Sealed_Mistress_Card#				//		ºÀÀÎµÈ¹Ì½ºÆ®·¹½ºÄ«µå				|		Carta Selada Abelha Rainha
4485#Sealed_Gloom_Card#					//		ºÀÀÎµÈ±Û·ëÄ«µå				|		Carta Selada Pesar Noturno
4486#Sealed_Berz_Card#					//		ºÀÀÎµÈº£¸£Á¦ºêºêÄ«µå				|		Carta Belzebu Selada
4487#Sealed_Ifrit_Card#					//		ºÀÀÎµÈÀÌÇÁ¸®Æ®Ä«µå				|		Carta Ifrit Selada
4488#Sealed_D_Lord_Card#				//		ºÀÀÎµÈ´ÙÅ©·ÎµåÄ«µå				|		Carta Dark Lord Selada
4489#Sealed_Pharaoh_Card#				//		ºÀÀÎµÈÆÄ¶ó¿ÀÄ«µå				|		Carta Pharaoh Selada
4490#Sealed_M_Flower_Card#				//		ºÀÀÎµÈ¿ù¾ßÈ­Ä«µå				|		Carta Flor Lunar Selada
4491#Sealed_B_Shecil_Card#				//		ºÀÀÎµÈ½º³ªÀÌÆÛÄ«µå				|		Carta Selada da Atirador de Elite Cecil
4492#Sealed_Orc_Hero_Card#				//		ºÀÀÎµÈ¿ÀÅ©È÷¾î·ÎÄ«µå				|		Carta Orc Hero Selada
4493#Sealed_Tao_Card#					//		ºÀÀÎµÈÅ¸¿À±ºÄ«Ä«µå				|		Carta Tao Gunka Selada
4494#Sealed_TurtleG_Card#				//		ºÀÀÎµÈÅÍÆ²Á¦³×·²Ä«µå				|		Carta General Tartaruga Selada
4495#Sealed_Amon_Ra_Card#				//		ºÀÀÎµÈ¾Æ¸ó¶óÄ«µå				|		Carta Amon Ra Selada
4496#Sealed_Drake_Card#					//		ºÀÀÎµÈµå·¹ÀÌÅ©Ä«µå				|		Carta Drake Selada
4497#Sealed_Knight_WS_Card#				//		ºÀÀÎµÈÆøÇ³ÀÇ±â»çÄ«µå				|		Carta Cavaleiro da Tempestade Selada
4498#Sealed_Lady_Tanee_Card#			//		ºÀÀÎµÈÅ¸´Ï¾Æ°¡¾¾Ä«µå				|		Carta Lady Tanee Selada
4499#Sealed_Samurai_Card#				//		ºÀÀÎµÈ¿ø·É¹«»çÄ«µå				|		Carta Selada do Samurai Encarnado
4500#Sealed_Orc_Load_Card#				//		ºÀÀÎµÈ¿ÀÅ©·ÎµåÄ«µå				|		Carta Selada do Senhor dos Orcs
4501#Sealed_B_Magaleta_Card#			//		ºÀÀÎµÈÇÏÀÌÇÁ¸®½ºÆ®Ä«µå			|		Carta Sumo Sacerdotisa Margaretha Selada
4502#Sealed_B_Harword_Card#				//		ºÀÀÎµÈÈ­ÀÌÆ®½º¹Ì½ºÄ«µå			|		Carta Mestre-ferreiro Howard Selada
4503#Sealed_Apocalips_H_Card#			//		ºÀÀÎµÈº£½ºÆÛÄ«µå				|		Carta Vesper Selada
4504#Sealed_Eddga_Card#					//		ºÀÀÎµÈ¿¡µå°¡Ä«µå				|		Carta Eddga Selada
4505#Scaraba_Card#						//		½ºÄ«¶ó¹ÙÄ«µå					|		Carta Scaraba
4506#Dolomedes_Card#					//		µ¹·Î¸Þµ¥½ºÄ«µå				|		Dolomedes Card
4507#Q_Scaraba_Card#					//		¿©¿Õ½ºÄ«¶ó¹ÙÄ«µå				|		Carta Rainha-Scaraba
4508#Gold_Scaraba_Card#					//		È²±Ý½ºÄ«¶ó¹ÙÄ«µå				|		Gold Scaraba Card
4509#Gold_Q_Scaraba_Card#				//		È²±Ý¿©¿Õ½ºÄ«¶ó¹ÙÄ«µå				|		Gold Queen Scaraba Card
4510#Miming_Card#						//		¹Ì¹ÖÄ«µå					|		Carta Miming
4511#Little_Fatum_Card#					//		²¿¸¶ÆÄÅùÄ«µå					|		Carta Pequeno Fatum
4512#Parus_Card#						//		ÆÄ·ç½ºÄ«µå					|		Parus Card
4513#Angra_Mantis_Card#					//		¾Ó±×¶ó¸ÇÆ¼½ºÄ«µå				|		Angra Mantis Card
4514#Pom_Spider_Card#					//		Æû½ºÆÄÀÌ´õÄ«µå				|		Carta Aranha Pom
4515#Alnoldi_Card#						//		¶óÇÃ·¹½Ã¾Æ¾Ë³îµðÄ«µå				|		Carta Alnoldi
4516#Comodo_Card#						//		ÄÚ¸ðµµÄ«µå					|		Comodo Card
4517#Cendrawasih_Card#					//		¼¾µå¶ó¿Í½ÃÄ«µå				|		Cendrawasih Card
4518#Banaspaty_Card#					//		¹Ù³ª½ºÆÄÆ¼Ä«µå				|		Carta Banaspaty
4519#Butoijo_Card#						//		ºÎÅäÀÌÁ¶Ä«µå					|		Butoijo Card
4520#Leak_Card#							//		¹«½Ã¹«½ÃÇÑ¸¯Ä«µå				|		Leak Card
4521#Sedora_Card#						//		¼¼µµ¶óÄ«µå					|		Carta Sedora
4522#Sropho_Card#						//		½º·ÎÆ÷Ä«µå					|		Carta Sropho
4523#Pot_Dofle_Card#					//		µµÇÁ·¹Ç×¾Æ¸®Ä«µå				|		Pot Dofle Card
4524#King_Dramoh_Card#					//		Å·µå¶ó¸ðÄ«µå					|		Carta Dhamon Rei
4525#Kraken_Card#						//		Å©¶óÄËÄ«µå					|		Kraken Card
4526#Odd_Coelacanth_Card#				//		±«ÀÌÇÑ½Ç·¯Äµ½ºÄ«µå				|		Weird Coelacanth Card
4527#Black_Coelacanth_Card#				//		¾ÏÈæÀÇ½Ç·¯Äµ½ºÄ«µå				|		Carta Celacanto Sombrio
4528#Mutant_Coelacanth_Card#			//		µ¹¿¬º¯ÀÌ½Ç·¯Äµ½ºÄ«µå				|		Carta Celacanto Mutante
4529#Cruel_Coelacanth_Card#				//		Æ÷¾ÇÇÑ½Ç·¯Äµ½ºÄ«µå				|		Violent Coelacanth Card
4530#Siorava_Card#						//		½Ã¿À¶ó¹ÙÄ«µå					|		Carta Siorava
4531#Red_Eruma_Card#					//		»¡°­¿¡·ç¸¶Ä«µå				|		Carta Eruma Vermelho
4532#Wild_Rider_Card#					//		¿ÍÀÏµå¶óÀÌ´õÄ«µå				|		Carta Montaria Selvagem
4533#Mini_Octopus_Card#					//		ÀÛÀº¹®¾îÄ«µå					|		Carta Polvo Pequeno
4534#Giant_Octopus_Card#				//		´ë¿Õ¹®¾îÄ«µå					|		Polvo Gigante
4535#Sealed_Rand_Card#					//		ºÀÀÎµÈ¶õµå±×¸®½ºÄ«µå				|		Carta Valkyrie Randgris Selada
4536#Sealed_Atroce_Card#				//		ºÀÀÎµÈ¾ÆÆ®·Î½ºÄ«µå				|		Carta Atroce Selada
4537#Sealed_Phreeoni_Card#				//		ºÀÀÎµÈÇÁ¸®¿À´ÏÄ«µå				|		Carta Freeoni Selada
4538#Sealed_Bacsojin_Card#				//		ºÀÀÎµÈ¹é¼ÒÁøÄ«µå				|		Carta Dama de Branco Selada
4539#Sealed_F_Bishop_Card#				//		ºÀÀÎµÈÅ¸¶ôÇÑ´ë½Å°üÄ«µå			|		Carta Bispo Decadente Selada
4540#SLD_Lord_Of_Death_Card#			//		ºÀÀÎµÈÁ×ÀºÀÚÀÇÁÖÀÎÄ«µå			|		Carta Senhor dos Mortos Selada
4541#SLD_B_Katrinn_Card#				//		ºÀÀÎµÈÇÏÀÌÀ§ÀÚµåÄ«µå				|		Carta Arquimaga Kathryne Selada
4542#SLD_Detale_Card#					//		ºÀÀÎµÈµðÅ¸¸£Ä«µå				|		Carta Detardeurus Selada
4543#SLD_Garm_Card#						//		ºÀÀÎµÈÇÏÆ¼Ä«µå				|		Carta Hatii Selada
4544#SLD_Dark_Snake_Card#				//		ºÀÀÎµÈÈæ»ç¿ÕÄ«µå				|		Carta Serpente Suprema Selada
4545#Novice_Poring_Card#				//		Æ÷¸µÄ«µå					|		Novice Poring Card
4546#Val'khiri_Card#					//		¹àÈ÷¸®Ä«µå5					|		Val'khiri Card
4547#Enhanced_Byorgue_Card#				//		Unk_name				|		Enhanced Byorgue Card
4548#Enhanced_Salamander_Card#			//		Unk_name				|		Enhanced Salamander Card
4549#Upd_Maya_Puple_Card#				//		Unk_name				|		Upd Maya Puple Card
